Metric,Value
Total Tips,64
Wins,37
Losses,24
Win %,60.7%
Void Bets,3
Total Staked (Units),101.50
Profit / Loss (Units),7.75
ROI %,7.6%
Average Stake,1.59
Biggest Win (Units),4.00
Biggest Loss (Units),-3.00
